japanese,english
終了,end
をもって,With
前提,Prerequisite
四つ,four
未来,future
僕ら,we
立ち上がる,stand up
同,same
推移,Transition
なくす,lose
有効,Effectiveness
次々,One by one
上で,Above
国内,Domestic
が,But
都合,circumstances
主な,main
ふと,Suddenly
四年,four years
無視,ignore
一気,At a glance
手続き,procedure
波,wave
仲,Friendship
中学生,Middle school students
イタリア,Italy
のぞく,Look into
誕生,birth
汚い,dirty
畑,field
履く,wear
膝,knees
提案,suggestion
業務,business
幸い,Happily
かわいそう,Poor
画像,image
孫,Grandchild
つなぐ,hook up
包む,Wrap
思い切る,Make up for
事態,situation
夜中,Midnight
改める,change
集中,concentration
両手,both hands
指示,Instruction
結婚式,wedding
虫,insect
バイク,bike
確立,Establishment
到着,arrival
かく,write
痩せる,lose weight
親父,father
なくてはいけない,I have to
試す,try
終える,End
遥か,far
受験,Taking the exam
医師,Doctor
バンド,band
体力,Physical strength
国家,Nation
ソフト,soft
長男,Eldest son
0,0
さっき,some time ago
ごく,Very much
入力,input
CM,CM
十一,eleven
チャンス,chance
別れる,break up
昼間,Daytime
生産,production
要,Key
収める,Put in
掃除,cleaning
強化,Enhancement
主婦,housewife
徐々,gradually
メーカー,Manufacturer
あり得る,could be
記す,Write down
うわさ,Rumor
保険,insurance
規制,Regulation
もの,thing
感想,thoughts
左右,Left and right
促進,Promotion
景色,view
味わう,taste
アジア,Asia
交流,Alternating current
報道,Report
当初,Beginning
インド,India
観察,observation
電気,Electricity
癖,habit
たいした,Trivial
あり方,Gain
どころ,Point
好み,Preference
はまる,Mock
早速,immediately
支払う,pay
市民,Citizen
メリット,merit
近年,recent years
分かりやすい,Easy to understand
製品,product
果たして,Truly
得意,good at
二週間,two weeks
問い合わせ,inquiry
あっ,Ah
何だか,somehow
過程,process
仕組み,structure
慌てる,panic
ざるを得ない,I have to do it
措置,Measure
油,oil
半年,Half a year
視線,Gaze
構造,structure
筋肉,muscle
少々,a little
対策,measures
濃い,dark
異常,Abnormality
図書館,library
靴,shoes
おそれ,Fear
二階,Upstairs
あえて,Dare
三回,Three times
引っ越し,moving
失礼,impoliteness
太る,Get fat
街,Town
いったん,Once
取り入れる,Incorporate
モテる,motel
都会,Urban
大量,Mass of large quantities
発言,comment
炒める,stir fry
投げる,throw
玄関,Entrance
一種,One species
世代,generation
にあたって,For
申し込み,application
高まる,Increase
証明,Proof
沸く,Boil
必死,Desperate
真剣,Sincerity
まさか,No way
ごめんなさい,sorry
画面,screen
米,Rice
成果,Outcome
物語,story
日時,Date and time
来年,next year
巻く,Roll up
こっち,here
必ずしも,necessarily
たっぷり,plenty
はやる,Do
恐ろしい,That's horrible
中身,inside
スピード,speed
一歩,one step
牛乳,milk
否定,denial
踏まえる,Take into account
若干,Slightly
箱,box
テニス,tennis
アパート,Apartment
面接,interview
住民,residents
て参る,Be
ギター,guitar
要素,element
泳ぐ,swim
大勢,in great numbers
習慣,Habit
込める,Put in
風邪,cold
調整,Adjustment
踊る,dance
とも,friend
タクシー,taxi
教会,Church
攻撃,attack
五時,Five o'clock
弁当,Lunch
方達,Guys
久しぶり,long time no see
とたん,Tan
要する,Need
幅,width
周辺,neighborhood
十日,10 days
取得,Acquisition
挑戦,challenge
独立,Independence
収入,income
ぜ,For
市場,market
着物,kimono
メニュー,menu
夏休み,Summer vacation
壊す,break down
なさる,Do
仮,tentative
かえって,Rather
関する,Be involved
輸入,Import
満たす,Fulfill
いわば,So to speak so to speak
スタッフ,staff
住所,address
平気,Calm
コース,course
訪ねる,visit
鍵,key
世界中,in the world
下手,poor
詩,Poetry
経過,Progress
整える,Arrange
ツアー,Tours
西,West
事項,Matter
塾,cram school
去る,leave
五人,Five people
入り口,Entrance
改めて,again
県,prefecture
断る,turn down
事務所,Office
大さじ,Teaspoon
整理,Organizing
耐える,Endure
職員,Staff
コメント,comment
五分,Five minutes
発揮,Demonstration
閉じる,close up
芝居,play
分析,analysis
解釈,interpretation
奪う,Take away
三ヶ月,Three months
注文,order
傷,scratch
外国人,foreigner
八時,Eight o'clock
冷蔵庫,refrigerator
任せる,Entrust
配慮,consideration
赤,red
かぶる,Cover
海外旅行,overseas trip
営業,Sales
水,water
なるほど,I see
空港,airport
交換,exchange
生える,Grow
防ぐ,prevent
ホームページ,home page
妊娠,pregnancy
貸す,lend
ママ,Mom
空く,Be empty
危ない,Dangerous
まっすぐ,Straight
映像,picture
壊れる,Be broken
破壊,destruction
削除,delete
派遣,Dispatch
カード,card
改正,Revision
世間,World
手伝う,help
社員,employee
月,Moon
信頼,trust
沿う,Along
輝く,Shine
三時,Three o'clock
ペット,Pets
世,world
不可能,impossible
襲う,Attack
問,Question
サイト,site
ボランティア,volunteer
問題点,problem
一人一人,One by one
サイズ,size
建設,construction
線,line
子育て,Raising children
願い,Wish
よろしい,Good
二十分,twenty minutes
モデル,model
余計,Extra
引き続く,Continue
移す,Transfer
募集,Recruitment
りんご,Apple
まずい,Unpalatable
食料,food
優勝,win
間,while
属する,Belong to
豊富,Abundant
消費者,consumer
喉,throat
布団,futon
十五分,Fifteen minutes
宇宙,universe
同じく,Equally
資金,Funds
しかたない,it can not be helped
料金,price
デパート,Department store
地図,map
唇,lips
釣り,fishing
十五日,Fifteen days
駅前,Front of the station
つつある,Tricky
ご覧,See
大会,Conference
拾う,pick up
いざ,Now
二番目,Second
良さ,quality
たって,Afterwards
素材,material
設立,Establishment
なので,that's why
絞る,squeeze
ところで,by the way
江戸,Edo
下る,Go down
二十,twenty
反映,Reflection
天気,weather
作家,Writer
減らす,reduce
十五,Fifteen
ゴルフ,golf
敷く,Lay
合格,Passing
日常,Everyday
毎回,every time
影,Shadow
うるさい,noisy
法,Law
罪,sin
まるい,Durable
団体,Group
詳細,detail
洋服,clothes
承知,know
多数,Majority
運営,operation
生き方,Way of life
備える,Provide
おしゃれ,Be fashionable
住宅,Residence
考慮,Consideration
働き,Manner
踏む,Step on
ファイル,File
有り,Have
要因,cause
わし,"eagle, I"
火,fire
偶然,Accidentally
だって,Because
不満,complain
クラブ,club
懐かしい,nostalgic
ページ,page
止む,Stop
外れる,Get off
経済的,Economic
机,desk
使い方,How to use
ハワイ,Hawaii
予算,budget
真面目,Earnest
勇気,courage
皿,plate
ありがたい,appreciated
視点,perspective
素直,honest
表面,surface
コピー,copy
削る,Shave
部活,Extracurricular activity
サラリーマン,Office worker
制限,limit
実験,experiment
ニューヨーク,New York
確かめる,confirm
東,east
主人公,main character
もっとも,At most
アメリカ人,American
テスト,test
高校時代,High School days
満足,satisfaction
愛情,love
微妙,subtle
生み出す,produce
ビル,building
あらかじめ,in advance
財産,property
証拠,evidence
我,I
訓練,Training
区別,Distinction
四日,four days
サークル,Circle
皆様,ladies and gentlemen
光景,Scenery
パターン,pattern
シーン,scene
新鮮,fresh
恵まれる,Be blessed
煮る,Boil
旨,Foreword
反省,introspection
放送,broadcast
人間関係,Human relationship
ボタン,button
少女,Girl
命ずる,Order
自己,self
ロンドン,London
端,end
加わる,Join
規模,scale
悩み,worries
鳴る,Sound
運,luck
ルール,rule
妙,Unusual
告げる,Tell
恋,love
現象,phenomenon
ベース,base
ネット,Net
許可,permission
商売,business
積む,Pile up
文句,Complaint
発想,Idea
見なす,Consider
親戚,Relatives
大幅,Large width
アドバイス,advice
ダイエット,diet
生命,life
中央,Center
発行,Issue
ほめる,compliment
カナダ,Canada
請求,Claim
企画,plan
話し合う,discuss
注ぐ,pour it up
増す,Increase
浴びる,Take a bath
縁,edge
吐く,Vomit
渋谷,Shibuya
間違える,mistake
セット,set
てはならない,must not
明かり,Light
玉ねぎ,onion
しかない,There is only
合計,total
良し,Good
二本,two
御,You
貴重,valuable
引っ張る,pull
城,castle
対処,handle
覆う,cover
教授,Professor
橋,bridge
巨大,Huge
あちらこちら,Here and there
苦手,weak point
スタイル,style
テント,tent
ユダヤ人,Jew
主,main
意志,will
容易,Easy
しばしば,often
のんびり,laid back
話しかける,talk
揃える,Be aligned
毎月,monthly
礼,Gratitude
つぶやく,Tweet
抵抗,resistance
十一時,eleven o'clock
恐怖,Fear
支配,Rule
右手,right hand
親しい,close
間違い無い,There is no doubt
禁止,Ban
怒り,anger
本格的,Full -fledged
命令,order
四時,Four o'clock
援助,assistance
二人共,Both of us
好む,prefer
苦しむ,suffer
見方,Perspective
介護,nursing
成績,Result
広告,advertisement
本日,today
強調,Emphasis
大いに,Very much
たまる,Accumulate
お子さん,Child
実態,Reality
によれば,According to
隠れる,hide
埋める,fill in
トップ,Top
依頼,request
もはや,no longer
真,true
出産,childbirth
達成,Achievement
申請,Application
知り合う,Know
親子,Parent and child
取り組み,attempt
招く,Be invited
二十日,The 20th
政治家,politician
飛び出す,Pop out
陥る,Fall into
寄せる,Send
定員,Capacity
駐車場,parking
彼氏,boyfriend
式,formula
によっては,In some ways
蓋,lid
実,fruit
社会人,society
墓,Grave
十三,Thirteen
宿,inn
都心,City center
二ヶ月,Two months
役立つ,Be useful
土曜日,Saturday
労働者,Worker
五日,Five days
発売,Release
成り立つ,Be held
人数,Number of people
物質,material
温度,temperature
性質,nature
方針,policy
ひたすら,single-mindedly
秘密,secret
該当,Applicable
案内,guidance
基礎,Foundation
単なる,mere
草,grass
食品,Food
トラブル,trouble
植える,Plant
定義,Definition
盛り上がる,Be exciting
祖父,grandfather
扉,door
僕達,we
にわたって,Over
廊下,hall
要請,request
姉さん,Elder Sister
プログラム,program
職業,Profession
限界,limit
地位,Status
負う,Bear
何しろ,Anyway
何と,What
エンジン,engine
コンビニ,convenience store
質,quality
漢字,Chinese characters
政策,policy
本物,Real thing
作り出す,produce
解消,Resolving
キャンプ,camp
アルバム,album
運命,Fate
に違いない,Must be
発する,Emperate
ロボット,robot
水分,moisture
天皇,Emperor
布,cloth
生物,Biology
根,root
信用,credit
ロシア,Russia
農業,Agriculture
思想,Philosophy
丁寧,polite
種,seed
書類,document
疑う,doubt
神様,God
悔しい,regrettable
農家,Farmer
市町村,Municipalities
被害者,victim
時計,clock
雲,cloud
ぱっと,At a glance
メッセージ,message
いじめ,Bullying
離婚,divorce
効果的,effective
掲載,publish
しょっちゅう,Snowlly
オリンピック,Olympic
操作,operation
知恵,wisdom
伝統,tradition
留まる,stay
受かる,Be accepted
恐れる,fear
著しい,Remarkable
カレー,curry
ウインドウズ,Windows
救う,save
助かる,Be helpful
巡る,Go around
予約,reserve
響く,Resonate
事前,advance
進行,Progress
解説,Explanation
潰す,Crush
二時,Two o'clock
行事,Event
男女,Men and women
メイン,Main
かむ,Bite
温める,warm
概念,concept
重視,Emphasis
複数,multiple
三十,Thirty
興奮,excitement
突っ込む,Plunge in
牛,Cow
鏡,mirror
ないし,No
二千年,"2,000 years"
煙,smoke
参照,reference
価値観,values
バター,butter
スープ,soup
自殺,suicide
トラック,truck
委員,Committee member
行政,Government
一年生,First -year student
犯す,commit
膨らむ,Swell
とうとう,finally
このごろ,These days
女子,Girl
JR,Jr
言語,language
とる,Take
以来,Since
市内,city
しかしながら,however
針,needle
集団,Group
体調,condition
三年間,Three years
手前,Forced
幼い,Young
説,Theory
神社,shrine
列車,train
夢中,Hopeful
トレーニング,training
よほど,very
どうせ,Anyway
坂,Slope
検索,search
アップ,up
絶える,Execute
三十一日,Thirty -one day
取材,Interview
ぶつかる,Collide
曲がる,Bend
ては,Forever
前年,Previous year
飽きる,Get tired of
三十日,Thirty days
分類,Classification
どっち,Which one
自分なり,Personality
覚悟,Preparedness
糸,thread
逮捕,Arrest
収まる,Be accumulated
交渉,negotiation
枝,branch
なにより,Above all
教科書,textbook
六時,Six o'clock
取り引き,transaction
免許,driver licence
講ずる,Take
太い,thick
開く,open
及ぼす,Hold
千円,Thousand yen
独自,Unique
夕食,dinner
震える,Tremble
心臓,heart
世界的,Global
所属,Affiliation
騒ぐ,Make a noise
そっと,Gently
溜める,Accumulate
晩,night
小屋,Hut
会議,meeting
個性,Personality
たがる,I want
理想,ideal
給料,salary
マスコミ,Media
おい,Hey
屋根,roof
クリスマス,Christmas
重なる,Overlap
各地,Various places
落ち込む,Be depressed
進化,evolution
とんでも,Very
思い付く,Come to mind
新幹線,bullet train
第三,Third
数える,count
公開,Release
地面,Ground
貢献,contribution
台風,typhoon
映る,Be reflected
大臣,Minister
十四,fourteen
入学,admission
紅茶,Black tea
控える,Refrain from
促す,prompt
何事,What
プレゼント,Present
配る,Distribute
改革,reform
一致,match
ゼロ,zero
義務,Duty
出席,Attending
十人,Ten people
処分,disposal
年間,Year
広島,Hiroshima
NHK,NHK
設計,design
飛び込む,jump in
邪魔,obstacle
ゆでる,Boil
プール,Pool
弁護士,lawyer
叱る,Scold
恋人,lover
暮らし,living
王,king
真似,Imitation
税金,tax
預ける,Deposit
柔らかい,soft
物事,things
相変わらず,As usual
年金,pension
やりとり,Exchange
ホーム,home
頼る,rely
学生時代,school days
憧れ,longing
内側,Inside
講師,Teacher
池,pond
接続,connection
役者,actor
光る,Glow
富士山,Fuji Mountain
必要性,necessity
七時,Seven o'clock
としたら,Then
出演,Appearance
柱,Pillar
間に合う,Be in time
年代,Age
鉄,iron
継続,continuation
特殊,Special
引き上げる,Pull up
スペイン,Spain
裁判,trial
はあ,Ha
上回る,Exceed
地下鉄,subway
専門家,Expert
内部,internal
割る,divide
スペース,space
結果的,As a result
飲める,Drink
割,Percentage
日記,diary
担う,Be responsible for
揺れる,Shake
彼,he
一匹,one
憲法,Constitution
件,subject
江戸時代,Edo Period
むく,peel
親切,Kindness
埼玉県,Saitama
急速,rapid
燃える,burn
末,End
胃,stomach
九州,Kyushu
ブログ,blog
にすぎない,Only
想定,Assumption
学習,study
ケーキ,cake
六年,Six years
袋,bag
医療,medical care
増大,Increase
競争,competition
投資,investment
ほっとする,Be relieved
お土産,Souvenir
記述,Description
謝る,apologize
にもかかわらず,apart from
獲得,Acquisition
見直す,Review
無人,Unmanned
心がける,Make a heart
テープ,tape
七日,seven days
二つ目,The second
板,Board
自慢,Pride
前項,Preceding paragraph
選挙,selection
更新,update
IT,IT
あちら,there
受け止める,Perceive
景気,Economy
二十五日,25 days
根拠,basis
チケット,ticket
民間,private
口調,tone
ふさわしい,Suitable
といっても,But
眼鏡,glasses
脇,side
持ち込む,Bring in
全身,Whole body
兄さん,Older brother
予測,predict
あれ,that
つながり,connection
欠ける,Be lost
嫌う,hate
保険料,Insurance fee
飛ばす,Skip
教わる,be taught
三十年,Thirty years
後半,Latter half
たく,Tap
何日,What day
防止,Prevention
遺伝子,gene
本屋,book store
明日,tomorrow
早め,Early
独特,Unique
今夜,tonight
ゆえ,For this reason
リズム,rhythm
突く,poke
魂,soul
滞在,stay
連携,alignment
ライブ,live
演ずる,play
廃止,abolition
復活,Revival
借金,debt
常識,common sense
闇,darkness
見守る,Watch over
不便,inconvenience
栄養,nutrition
フランス語,French
アクセス,access
PC,PC
不幸,Unfortunate
こだわる,Stick to
カット,cut
乾く,dry
おまけ,bonus
をはじめ,Including
ついで,By the way
名称,name
鍛える,Train
大学生,university student
左手,left hand
乾燥,Drying
たった,only
およそ,about
八日,The 8th
ぴったり,Exactly
添える,Serve
ノート,Note
配置,Arrangement
輸出,export
陰,shadow
漬ける,Pickle
果物,fruit
個々,individual
十六日,16th
電話番号,phone number
混む,Be crowded
築く,build
穏やか,Calm
結び付く,Connect
崩れる,Collapse
届ける,deliver
プレー,play
進歩,Progress
百,hundred
尻,Buttocks
汚れる,Be dirty
産業,industry
前日,The day before
吸収,absorption
驚き,surprise
ソ連,Soviet Union
悲しみ,sorrow
十一日,11th
最低,Lowest
十六,Sixteen
にんにく,garlic
順番,order
裁判所,court
観光,sightseeing
申し訳,Sorry
葉っぱ,leaf
生き物,Creature
演出,Directing
ですが,but
本気,Seriousness
三年生,Third grade
記入,enter
見上げる,look up
話し合い,discussion
値,value
一人暮らし,Living alone
趣旨,Effect
柔らかい,soft
舌,tongue
三時間,three hours
後悔,regret
詰める,pack
勝利,victory
自覚,Awareness
今朝,this morning
総合的,Comprehensive
美しさ,beauty
法人,Corporation
滑る,slide
極端,extreme
留学,Studying abroad
念,Sense
銀座,Ginza
十五年,Fifteen years
漂う,Drift
測る,measure
永遠,Eternity
十四日,Four days
取り戻す,regain
いっぺん,At once
門,gate
伸び,stretch
たどる,Follow
事例,Case
どなた,who is it
やばい,terrible
冗談,joke
巣,nest
進展,Progress
手伝い,help
死亡,death
細胞,cell
犠牲,Sacrifice
殴る,hit
前後,Back and forth
対立,Conflict
六日,Six days
比率,ratio
タイ,Thailand
放つ,Release
香港,Hong Kong
湖,lake
稼ぐ,Make money
出現,Appearance
真実,truth
前回,last time
工事,construction
科学,Science
順,order
読者,reader
不足,Shortage
社会的,Social
限定,exclusive
劇団,Theatrical company
看護婦,nurse
人参,carrot
一面,one side
生涯,Life
意思,Intention
追加,addition
台湾,Taiwan
日常生活,Everyday life
拭く,wipe
レース,race
民族,People
天,Heaven
花火,firework
項目,item
動向,Trend
にしろ,Though
日頃,Regularly
砂,sand
大根,Japanese white radish
感激,Deep emotion
浮く,float
まして,not to mention
リスク,risk
引っ掛かる,Get stuck
オークション,auction
二十一日,The 21st
ほら,You see
を通して,Through
武器,weapon
都内,In Tokyo
違反,violation
すっきり,Neat
十二日,twelve days
別に,Separately
十八日,18th
お宅,Your house
交通,traffic
業界,industry
解放,release
需要,demand
高度,Advanced
帰国,Returning home
午前中,morning
実践,Practice
深刻,serious
十八,XVIII
関係者,Stakeholders
追いかける,Chase
作用,Action
毎週,Every week
五つ,Five
頻繁,frequent
差別,discrimination
大声,Loud
長年,Many years
固まり,Raging
快適,comfortable
あいつ,that person
研修,training
沈む,Sink
男子,Male
爪,nail
青年,Young man
捕まえる,catch
こいつ,this guy
氷,ice
十七日,17 days
鋭い,sharp
いじめる,bully
業者,Business
大半,Majority
作り上げる,build up
三つ目,The third
称する,Call
とすれば,given that
支持,support
九日,The 9th
雌,female
跡,Trace
トマト,tomato
エピソード,episode
真,true
訪問,visit
スピーチ,speech
一見,Glimpse
足元,foot
台所,kitchen
ねばならない,Have to do
毛,hair
一点,Single point
二十三日,23 days
支給,provision
経費,Expense
晴れる,Clear
感心,Impression
ポケット,pocket
決意,Determination
法則,law
とはいえ,Although
資産,assets
慎重,Caution
二十四日,The 24th
尊敬,respect
尽くす,Exhaust
謎,Mystery
田んぼ,Paddy field
評判,reputation
寒さ,Coldness
天井,ceiling
池袋,Ikebukuro
せめて,at least
喫茶店,Coffee shop
従業員,employee
嫁,Bride
浮かべる,Float
災害,disaster
国際的,International
髪の毛,hair
ないといけない,I have to do it
加入,Joining
受け付け,Accepting
玉,ball
型,Mold
順調,Smoothness
専門,Specialty
供給,supply
振り,Swing
売り上げ,Sales
建築,Architecture
利用者,user
多様,Diverse
地方公共団体,Local government
じゃん,Jan
鉄道,Railway
誕生日,birthday
五十年,Fifty years
役員,board member
設備,Facility
悪化,Deterioration
用,for
ただいま,I'm back
十三日,13 days
遺跡,Remains
消費,consumption
模様,pattern
深める,deepen
パパ,Daddy
文,Sentence
中国人,Chinese
活性化,activation
聖書,Bible
神経,Nerve
混乱,confusion
ど,degree
癒す,heal
磨く,polish
動作,motion
コンサート,concert
粉,powder
身長,height
賛成,Agree
形態,form
につれて,Around
部下,Subordinate
二十世紀,20th century
ひょっとする,Perhaps
勤務,Work
恋愛,love
都道府県,Prefectures
誤解,Misunderstanding
直前,Right before
平均,average
出身,where one is from
区,Ward
しょう油,Soy sauce
こつ,Bend
翻訳,translation
ぼおっと,Bouto
ソース,sauce
二十二日,22nd
固まる,Be hardened
ステージ,stage
ストーリー,story
越す,Exceed
まとまる,Be united
始まり,Beginning
解く,solve
別れ,farewell
女房,wife
才能,talent
背後,Behind
通過,Passing through
確信,conviction
株,stock
いまさら,Even now
強力,Powerful
神戸,Kobe
見出だす,Discover
北朝鮮,north korea
側面,side
誇り,pride
作り,Making
米,Rice
崩壊,Collapse
二十一,Twenty one
直ちに,right away
バッグ,bag
本書,This book
器,vessel
血液,blood
衝撃,impact
嫌がる,Dislike
製造,Manufacturing
とりわけ,Especially
小麦粉,flour
気配,Sign
理論,theory
流行,trend
見解,View
承認,Approval
いかにも,Indeed
単位,unit
掘る,dig
歌詞,lyrics
絡む,Get entangled
文明,civilization
長崎,Nagasaki
構える,Set up
わー,Oh
発音,pronunciation
共有,share
勝負,Competition
住まい,Home
二十八日,28th
重大,Serious
各国,Various countries
無理矢理,forcibly
五百円,Five hundred yen
出品,Exhibition
祈る,pray
三番目,The third
メモ,Memo
平日,weekday
支払い,payment
皮膚,Skin
反面,On the other hand
代表的,Typical
整う,Be prepared
初心者,beginner
たどり着く,Arrive
焼ける,Burn
合併,merger
ウサギ,rabbit
徹底,Thorough
脱ぐ,Take off
八年,Eight years
ですけれど,However
意,Intention
自民党,LDP
地下,underground
構築,construction
両者,Both sides
適する,Suitable
引き受ける,undertake
番号,number
経営者,executive
焦る,panic
論文,paper
タイミング,timing
百パーセント,one hundred percent
週末,weekend
出品者,Seller
二十六日,26 days
正式,Official
カラオケ,karaoke
退職,retirement
満ちる,be full
おとなしい,Quiet
知人,acquaintance
刻む,Chop
十九日,Nineteen days
千葉県,Chiba prefecture
食材,ingredients
携わる,Be involved in
組み合わせ,combination
冷静,calm
台詞,lines
コート,coat
二年生,Second grade
ロック,Lock
国会,Parliament
編む,Knit
破る,Break
真っ赤,bright red
意図,intention
さらす,Expose
手間,time
可愛がる,Love
森林,forest
マイナス,minus
ラーメン,ramen
帽子,hat
オープン,open
名古屋,Nagoya
離す,Leave
数値,Numerical value
熱心,Eagerness
見直し,look over
盗む,steal
一冊,One
強さ,strength
紐,string
岩,rock
ミス,Mistake
移行,Migration
味方,Ally
純粋,pure
転勤,transfer
ビートルズ,Beatles
フライパン,Frying pan
一階,First floor
さっぱり,Fresh
正面,front
演劇,theater
疲れ,Fatigue
経緯,background
探る,explore
数学,Math
関わり,Involvement
英国,British
巻き込む,Get involved
退院,Discharge from the hospital
覚え,Perception
優秀,excellence
リラックス,relax
施策,Policy
瞳,pupil
二十七日,27th
権限,authority
十七,Seventeen
展示,Exhibition
三歳,Three years old
朝食,breakfast
診断,diagnose
ご免,Exemption
缶詰,canning
こしょう,Pepper
潰れる,Be crushed
海岸,Coast
領域,region
出版,Publication
映画館,movie theatre
気温,temperature
由来,Origin
引き起こす,cause
筋,logic
ガラス,Glass
同意,Agreement
土日,Saturday and Sunday
認定,Certification
おもちゃ,toy
島,island
丘,hill
二年間,two years
メディア,media
一台,One
翌年,following year
酸素,oxygen
よし,OK
いまや,Now
贅沢,luxury
金融機関,Financial institution
百円,One hundred yen
黄色,yellow
制定,Establishment
文書,documents
初期,initial
ぬれる,get wet
はがき,Postcard
巨人,Giant
俺達,We
苦痛,pain
パワー,power
いかなる,What
あちこち,Here and there
実力,real ability
面する,Face
もったいない,too good to waste
港,Harbor
片方,One side
最悪,terrible 
ぎりぎり,last minute
二十九日,29th
市販,Commercially available
この世,This world
片手,one hand
サイン,sign
キリスト教,Christianity
年寄り,Elderly person
気軽,Light
鳴く,Scream
呼吸,Breathing
コーナー,corner
徒歩,On foot
延長,Extension
眠い,sleepy
厚い,thick
二千二年,292 years
中小企業,Small and medium-sized enterprises
浅草,Asakusa
完璧,perfect
傷付ける,Hurt
とく,virtue
あご,Chin
紅葉,Autumn leaves
では,Then
信仰,faith
ねた,Named
雇う,hire
雄,Male
欧米,Europe and the United States
運用,Operation
酢,vinegar
半ば,middle
印象的,Impressive
権力,power
拒否,rejection
空く,Be empty
ビジネス,business
幅広い,Wide
アイデア,idea
十二時,20 o'clock
ベトナム,Vietnam
落札,Successful bid
出場,Participation
だます,fool
片付ける,put away
組み合わせる,combine
むろん,Out of place
雇用,employment
乗り越える,get over
休日,holiday
寝袋,sleeping bag
疑い,Suspicion
引き出す,Draw out
折,Occasionally
印刷,printing
こなす,Handle
パチンコ,pachinko
導く,Guide
中止,cancel
連続,continue
折る,Break
関西,Kansai
単語,word
曖昧,ambiguous
死体,cadaver
アフリカ,Africa
なくてはならない,Must-have
幸福,happiness
説得,Persuasion
籠もる,Take a basket
レッスン,lesson
放置,Abandoned
危機,crisis
アーティスト,Artist
子達,Children
編集,edit
くっ付く,Stick to
取り付ける,Attach
原稿,Manuscript
象徴,Symbol
説く,preach
服装,Clothes
見学,field trip
六人,six people
中野,Nakano
応募,Application
ラッキー,lucky
二回目,Second time
棒,rod
こととなる,Be
固定,Fixation
告白,Confession
圧倒的,Overwhelming
策定,Formulation
矛盾,Contradiction
引き取る,Take over
保証,guarantee
団地,Housing complex
会長,Chairman
利点,advantage
ジャンル,Genre
縦,vertical
隙間,gap
歴史的,historic
羨ましい,Jealous
ガス,gas
ウイルス,virus
公表,Announcement
二千一年,"2,000 years"
古く,Old
潜る,dive
一万円,Ten thousand yen
意義,significance
憧れる,Admire
前向き,Positive
ゆったり,Comfortable
漏れる,Leak
品物,goods
前述,Above -mentioned
あら,Oh
OS,OS
まとも,Decent
入手,obtain
二十代,Twenties
孤独,Loneliness
平等,equality
崩す,Break down
競馬,Horse racing
格好良い,Good looking
交わす,dodge
伝統的,Traditional
パーティー,party
役目,Role
通知,notification
要望,request
をめぐる,Over
営む,Run
パート,part
手のひら,palm
地上,Ground
踊り,dance
押し付ける,Press
溶ける,melt
奇妙,strange
最中,In the middle
定着,Settlement
依然,still
素早い,quick
そこらへん,It is
有利,advantageous
水準,level
