japanese,english
じっくり,Carefully
首相,prime minister
レコード,record
際に,At the time
滅多,Rarity
機関,institution
手作り,Handmade
提示,Presentation
エジプト,Egypt
下町,Downtown
ううん,No
優先,priority
大部分,Majority
戦前,Last war
制作,Production
いい加減,Sloppy
後者,the latter
五十,Fifty
入り込む,Get in
シャワー,shower
栗,chestnut
札幌,Sapporo
主体,Subject
家内,wife
看板,signboard
将棋,Shogi
家事,domestic affairs
捕まる,get caught
他方,On the other hand
交通事故,Traffic accident
手順,procedure
コスト,cost
余る,Survive
輪,ring
ならびに,And
男達,Men
地名,Place name
合意,agreement
大手,Major
本番,Production
同僚,colleague
楽しさ,Amusement
丈夫,Durable
技,Technique
たちまち,Immediately
仕上げる,Finish
回収,collect
再生,reproduction
わがまま,Self-indulgence
小さじ,Teaspoon
コントロール,Control
深夜,Midnight
なおかつ,Still
活発,Vitality
芸術,art
ブラジル,Brazil
施行,Enforcement
チーズ,cheese
教え,lesson
追及,Pursuit
今月,this month
仙台,Sendai
特許,Patent
株式,stock
労働,Labor
カフェ,Cafe
シンプル,simple
規則,Rule
客観的,objective
帰宅,Returning home
つくづく,Stubborn
一つ目,The first one
汚染,pollution
転換,Conversion
たんぱく質,protein
Eメール,Email
予防,prevention
頬,cheek
面積,area
大正,Taisho
固める,Harden
反する,Contrary
振るう,Shake
宣言,declaration
直後,Immediately after
ねえ,Hey you
せいぜい,At best
特性,Characteristic
解散,dissolution
貧しい,poor
回転,rotate
マナー,Manner
いちいち,One by one
政令,Government order
王様,King
折れる,Be broken
竹,bamboo
暴力,violence
えび,Shrimp
担任,Homeroom teacher
角度,angle
革命,revolution
合宿,Training camp
後輩,one's junior
一連,Series
自動的,automatically
郵便局,Post office
概要,Overview
ローマ,Rome
にわたる,Rip -off
体制,System
セックス,Sex
上記,the above
何時,What time
親友,Close friend
お袋,mother
所有,Ownership
進出,Advance
大げさ,exaggerated
測定,measurement
そこそこ,So much
論ずる,Discuss
家賃,rent
蛇,snake
自身,Themselves
譲る,Give over
修理,repair
遡る,go back
加工,processing
鶏,chicken
保護者,Guardian
いえ,House
施す,Apply
人材,Human resources
かすか,Kasa
取り込む,take in
排除,Exclusion
育成,Training
移転,transfer
動機,Motivation
兼ねる,Be as good as
ネットワーク,network
自立,Independence
ハムスター,hamster
でかい,huge
下す,Set
やたら,Very much
二十五,twenty five
黄色い,yellow
確率,probability
ペース,pace
大統領,president
スムーズ,Smooth
欠点,Disadvantage
適正,Appropriate
千葉,Center
望ましい,desirable
鳴らす,Sound
ブランド,brand
学問,Learning
共同,Joint
取り除く,remove
不可欠,necessary
十九,Nineteen
神奈川県,Kanagawa Prefecture
二十二,twenty-two
ばれる,Come off
乗り込む,Get in
欠かせる,Indispensable
窓口,window
収穫,harvest
バラ,rose
血管,Blood vessels
方言,dialect
時間帯,Time zone
全体的,Overall
割れる,Be cracked
抽選,lottery
手法,Method
肉体,body
生き生き,Lively
狂う,Go crazy
一口,bite
協議,Discussions
重要性,Importance
発酵,fermentation
繰り返し,repetition
入札,bid
覚める,wake
ベスト,Vest
羽根,Feathers
背負う,Carry on
いつか,sometimes
次回,next time
基盤,basis
丸,Circle
感染,infection
尊重,respect
オフィス,office
否,no
素人,amateur
十七歳,Seventeen
一環,Parting
洗濯,Washing
争う,Compete
一時的,temporary
観光客,tourist
主要,Main
魅力的,attractive
外側,outside
勘違い,misunderstanding
この間,During this time
臭い,odor
手元,At hand
食,Food
ため息,Sigh
急激,Rapid
お仕舞い,The end
修正,Correction
たいして,Very much
インタビュー,interview
同級生,classmate
受け継ぐ,inherit
重さ,weight
町作り,Town making
削減,Reduction
顧客,client
爆発,explosion
スイス,Switzerland
うかがう,Outrageous
軍隊,army
そいつ,That guy
試みる,Attempt
決心,Resolution
所得,income
難い,hard
リーダー,leader
調理,cooking
地区,district
家具,furniture
自治体,Local government
剣,sword
介護保険,Long-term care insurance
キス,kiss
不況,recession
松,Pine
停止,Stop
古代,Ancient times
四十,Forty
シリーズ,series
食生活,Eating habits
申し込む,apply
デビュー,debut
足る,Be enough
四十年,Forty years
思い込む,Be convinced
予備校,Preparatory school
膨大,Swelling
統一,Unification
寿命,lifespan
根本的,Fundamentally
幕府,Shogunate
苦しみ,suffering
要件,Requirements
図表,Chart
逃れる,escape
反対側,Opposite side
プロジェクト,project
励ます,encourage
存ずる,Hold
辞書,dictionary
中国語,Chinese
までもない,No longer
カラス,Crow
問い,question
派手,vulgar
DVD,DVD
発明,invention
大学時代,College days
干す,dry
披露宴,reception
気候,climate
非難,Criticism
唱える,recite
作者,author
助け,Help
に比べて,Compared to
関東,Kanto
なめる,Lick
不明,not clear
スケジュール,schedule
差し出す,Send out
外部,external
ネズミ,mouse or rat
ニーズ,needs
現金,cash
彼女達,Girls
故郷,Hometown
畳,tatami
がっかり,Disappointed
しも,Sacrifice
福祉,welfare
上下,Up and down
汚れ,Dirt
書き込む,Write down
栽培,Cultivation
視野,Vision
隅,corner
保障,security
三十代,Thirties
バック,back
一斉,All at once
お盆,Bon Festival
審査,examination
ゆとり,Room
打ち込む,Draft
福岡,Fukuoka
通勤,go to work
準用,Standardization
右側,Right side
推測,Guessing
ライン,line
預かる,look after
美術館,Art museum
二個,Two pieces
冷やす,cool
仏教,Buddhism
接触,contact
意欲,Motivation
本音,True intention
二種類,two kinds
主役,Leading role
次男,second son
多々,many
定期的,Regularly
しめる,Close
通り過ぎる,Pass by
スーツ,suit
形式,format
ピンク,pink
七年,Seven years
生きがい,reason to live
にぎやか,Lively
結成,Formation
研究者,researcher
名付ける,Name
信号,signal
就職活動,job hunting
捜査,investigation
現に,Actually
黒人,Black man
事柄,Matter
早く,quickly
速度,speed
奥様,wife
まれ,Rarely
じゃが芋,potato
数多く,Many
ひそか,Secretly
照らす,Illuminate
ミュージカル,musical
怪しい,suspicious
友,friend
傾ける,Lean
鉛筆,pencil
判決,Judgment
マラソン,marathon
広さ,Breadth
リスト,list
振り向く,turn around
二歳,Two years old
関与,Involvement
遂げる,Achieve
二十人,20 people
タオル,towel
一泊,Overnight
ごちそう,Feast
的確,Accuracy
運転手,driver
各種,Various kinds
録音,recording
沈黙,silence
再度,again
以後,Afterwards
熊,bear
八王子,Hachioji
贈る,give
林,Forest
懸念,concern
燃やす,burn
枠,frame
児童,Child
真っ白,pure white
さっと,suddenly
定年,Retirement age
育児,Childcare
蹴る,Kick
蜂蜜,honey
度々,Often
完了,completion
二十三,twenty three
通訳,interpretation
飼い主,Owner
傍ら,beside
宣伝,Promotion
室内,Indoors
会員,Member
思考,Thinking
衣装,Costume
足す,Add
シャツ,shirt
イラク,Iraq
取り扱う,handle
わざと,Intentionally
前年度,Previous year
新郎,Groom
幹部,Executive
シェア,share
ガソリン,gasoline
記念,anniversary
強烈,strong
俳句,Haiku haiku
特色,Characteristic
引退,Retirement
飲み物,drink
いいえ,No
部,Department
オランダ,Netherlands
華やか,Gorgeous
高価,expensive
なじむ,Be familiar with
誇る,Be proud
左側,left
浮気,Flirtation
デート,Date
抑制,Suppression
好奇心,Curiosity
公務員,Public servant
列,Row
ソファー,sofa
初日,first day
プロセス,process
郊外,Suburb
六十,sixty
痛む,Be painful
自衛隊,Self -Defense Force
尽きる,run out
国連,united nations
手軽,Simple
町並み,Townscape
推定,Estimation
ちまう,Beyond
文部省,Ministry of Education
結びつける,Connect
例外,exception
プロ野球,Professional baseball
二枚,two papers
まさしく,Truly
変わり,change
用事,business
効率,efficiency
クリア,clear
だけど,However
財布,wallet
徹底的,Thorough
直面,Facing
己,Self
目安,rough indication
目覚める,wake up
等しい,equal
休憩,rest
一日中,all day
有無,presence or absence
HP,HP
不要,Unnecessary
猿,monkey
従事,Engaging
蓄積,Accumulation
よみがえる,Revive
年賀状,New Year's card
バブル,bubble
毎朝,Every morning
地味,sober
文学,literature
Tシャツ,T -shirt
放る,Leave
攻める,attack
位置付ける,Position
四回,four times
マーク,mark
アルコール,alcohol
優しさ,Kindness
漠然,vague
偉大,Greatness
脂肪,fat
言い出す,break the ice
青,Blue
キーワード,keyword
ベランダ,Veranda
炎,flame
交付,Issuance
証言,testimony
敏感,sensitive
鮮やか,vivid
解明,Elucidation
方式,method
瓶,bottle
そっくり,Exactly
縛る,Tie up
実情,Reality
円,Circle
化粧,make up
二十四,Twenty-four
数々,many
持参,Bring
引用,Quote
同期,Synchronization
健全,Sound
西洋,West
プレッシャー,pressure
赤ん坊,baby
打ち合わせ,meeting
欲望,desire
軍,army
パス,path
頼り,Reliance
扱い,Treatment
本質,Essence
市役所,City Hall
車両,vehicle
株価,Stock price
昼食,lunch
注射,injection
臨む,Face
職,Job
見た目,Appearance
アピール,appeal
三分の一,One third
全国的,Nationwide
豚,Pig
資本,capital
思いやり,Compassion
見通し,Outlook
十二年,122 years
きっちり,Exactly
砂漠,desert
エレベーター,Elevator
浅い,shallow
カバー,cover
交代,Change
資源,resource
現実的,Realistic
苦笑,Bitter smile
餃子,chinese dumpling
食堂,dining
もっぱら,Exclusively
締結,conclusion
裸,naked
そうこう,So
イライラ,Frustrating
収集,collection
記者,Reporter
脱出,escape
呼び出す,call
主流,Mainstream
さほど,So much
事務,Administrative office
付け加える,add
国々,Countries
地球上,On earth
大企業,large company
倒す,knock down
写る,Be reflected
漏らす,Leak
上達,Improvement
故郷,Hometown
行使,exercise
表明,Express
体育,physical education
読書,reading
都,Capital
ずれる,Shift
通用,Acceptance
支障,hinderance
カウンター,counter
大規模,Large scale
大家さん,Landlord
昨夜,last night
角,corner
ニコニコ,smilingly
三日間,Three days
撫でる,Stroke
金利,interest rate
わくわく,Be exciting
仮定,Assumption
引きずる,Drag
バラバラ,Apart
依存,reliance
様,looks
同居,Living together
スカート,skirt
柄,Handle
回数,Number of times
ユーザー,user
筆者,Author
筆,Brush
制約,Restrictions
絵本,Picture book
町中,Throughout the town
著者,author
芽,Bud
担当者,manager
嵐,storm
厚生省,Ministry of Health
豆,beans
損,loss
肝心,Important
保育園,nursery school
ポスト,post
呼びかける,Call out
余談,Aside
凝る,Be stiff
水道,Water supply
人形,doll
狙い,the aim
決断,decision
大切さ,importance
よそ,Beyond
蚊,mosquito
監視,Monitoring
同年,same year
あっさり,Simple
微笑む,smile
駆け付ける,rush
ゴール,goal
三本,Three
棚,shelf
しっぽ,tail
虐待,Abuse
然り,But
正常,normal
配布,distribution
持ち上げる,lift
見送る,See off
引き継ぐ,take over
違和感,Sense of incongruity
ジャズ,jazz
次いで,Next
向き,direction
五年間,Five years
安全性,safety
国境,Border
包丁,Kitchen knife
キー,Key
どきどき,Pounding
賑わう,Be crowded
地獄,hell
豪華,Gorgeous
救急車,ambulance
十年間,Ten years
不動産,real estate
広まる,spread
外出,Go out
グラス,glass
曲げる,bend
屋敷,Mansion
専門的,Professional
切り替える,Switch
染める,dye
スキー場,Ski resort
ヒント,Hint
講義,lecture
裏切る,betray
余地,room
富む,Be rich
手書き,Handwriting
ブーム,boom
ワールドカップ,World Cup
鬼,demon
ホール,hole
似合う,Succeed
節約,Savings
実績,achievement
訳す,Translate
奴ら,Them
キッチン,kitchen
課する,impose
養う,Nurture
別々,separately
手足,limbs
物価,cost of living
部品,parts
最適,Optimal
宿題,homework
氏名,Full name
ダンス,dance
溶かす,Dissolve
人種,Race
歌手,singer
銀,Silver
ルート,root
第一号,First issue
従兄弟,Cousin
概ね,generally
往復,round trip
起源,origin
広場,Square
レモン,lemon
円滑,Smoothness
広大,Vast
TV,TV
カップル,Couple
納豆,Natto
堂々,proudly
肝臓,liver
味わえる,Tasty
電源,power supply
分割,Split
縮小,Reduction
練る,Knead
飲み込む,swallow
職人,Craftsman
十三年,13 years
キャラクター,character
大地,Land
具,Ingredients
戸惑う,Be confused
寂しさ,Loneliness
吐く,Vomit
カーテン,curtain
情けない,Pitiful
飯,food
幼児,infant
法案,bill
病,disease
切符,ticket
消滅,Annihilation
障害者,handicapped
台,Stand
面白さ,Fun
生まれ,birth
保有,Holding
反発,Opposition
アレンジ,arrange
しつけ,Discipline
指導者,Leader
原理,principle
東南アジア,Southeast Asia
ID,ID
金属,metal
しわ,Wrinkle
思い浮かべる,Imagine
一分,Minute
当面,for the time being
貯金,saving
技術的,Technical
四歳,Four-year-old
ダンボール,Cardboard
生クリーム,Fresh cream
名乗る,Claim
金曜日,Friday
生き残る,survive
演技,acting
取り巻く,Surround
体質,Constitution
ドイツ語,German
仕方が無い,There is no way
参加者,participant
第三者,third party
感性,Sensitivity
谷,valley
本社,main office
都度,Every time
ぼんやり,Blurred
死者,dead
四季,Four seasons
倒産,bankruptcy
ニュージーランド,new zealand
センター,Center
保全,Maintenance
結合,Combination
発送,send
パンツ,Pants
ぐるぐる,round and round
ナンバー,number
持ち主,Owner
到底,Far
夕日,Sunset
乗り換える,Transfer
リストラ,restructuring
答弁,Answer
哲学,philosophy
おかしな,Funny
当事者,Parties
シーズン,Season
品,Item
高速道路,highway
一員,member
確定,Confirm
委員会,Committee
混ぜ合わせる,Mix
興味深い,Interesting
あれこれ,This
分布,distribution
観客,audience
鮎,Sweetfish
正午,noon
首都,capital
体内,Inside the body
調和,Harmony
権威,authority
シンガポール,Singapore
酔う,Be drunk
最低限,minimum
傷つく,Be hurt
カボチャ,Pumpkin
老後,old age
当てはまる,apply
害,harm
稽古,Training
一位,First place
率いる,Led by
前者,former
数人,Several people
創造,Creation
届け出,Notification
荻窪,Ogikubo
スイッチ,switch
試み,Trial
歩む,walk
立ち止まる,stop
いまいち,Not so much
麺,noodles
不安定,unstable
原点,origin
一向,Head -to -face
それゆえ,therefore
ジュース,juice
軽減,Reduction
不自由,Inconvenience
悲鳴,scream
落札者,Successful bidder
融資,Loan
破綻,Breakdown
二千八年,28 years
アドレス,address
励む,Work hard
双方,both
原爆,Atomic bomb
傘,umbrella
チャレンジ,Challenge
炭,Charcoal
不意,Unexpected
リサイクル,recycling
ミルク,milk
子孫,descendants
近頃,recently
鞄,bag
五千円,Five thousand yen
圧力,pressure
斜め,diagonal
補助,auxiliary
改良,Improvement
俳優,actor
フィリピン,Philippines
効率的,Efficient
情熱,passion
七人,Seven people
焦点,focus
旅館,Inn
食卓,table
歩き回る,Walk around
悲劇,tragedy
長女,Eldest daughter
議会,Parliament
侵入,Invasion
盛る,Hold
転ずる,Turn off
祭る,Enshrine
笑み,smile
三度,Thrice
冷える,Get cold
案,Proposal
心理,Psychology
縫う,sew
おしゃべり,Chatting
次ぐ,Next
復帰,return
衝突,collision
持ち出す,Take out
浸かる,Soak
ドライブ,drive
テキスト,text
変動,Fluctuation
吸い込む,Suck in
木々,The trees
ヒット,hit
箸,chopstick
食欲,appetite
語,word
通信,communication
一家,Family
怒鳴る,bellow
二十一年,21st years
専業主婦,housewife
滝,waterfall
ひねる,Twist
身分,Status
敷地,site
冷める,Cool down
ブルー,blue
先進国,Developed country
バナナ,banana
取り扱い,handling
フィルム,the film
日本酒,Sake
WWW,Www
透明,Transparent
即,Immediately
克服,Overcoming
専門学校,Vocational school
六十歳,Sixty years old
朝日,Morning sun
スタジオ,studio
長期,Long -term
美人,Beautiful
筆記用具,Writing utensils
石油,oil
早朝,early morning
店内,inside of shop
賃金,wage
見回す,Look around
日程,schedule
応用,application
真っ暗,Completely dark
眉,eyebrow
レンズ,lens
五回,5 times
俗,Worldly
パスタ,pasta
差し込む,Insert
性能,Performance
絵画,Painting
刀,sword
理念,Philosophy
裁判官,judge
戦略,strategy
核,Nucleus
農民,farmers
コンクリート,concrete
環境問題,Environment issues
ライター,Writer
手入れ,maintenance
判定,judgement
帯びる,Be understood
日曜,Sunday
昨今,These days
対話,Dialogue
帯,band
お好み焼き,Okonomiyaki
羊,sheep
前半,first half
ショー,show
研究所,Research institution
生姜,ginger
冒頭,beginning
メジャー,major
公演,Performance
剣道,kendo
倉庫,Warehouse
浴衣,yukata
直径,diameter
残業,overtime
殺人,murder
判明,Tells us
統合,Integration
水気,moisture
我ら,Us
原料,material
群れ,Flock
新婦,bride
持ち物,Belongings
転がる,roll over
おはよう,good morning
二匹,two
天候,weather
危険性,Risk
創設,Establishment
年末,End of the year
感,Feeling
イコール,equal
実質的,Substantive
響き,sound
六ヶ月,six months
プラン,plan
グラウンド,Ground
メキシコ,Mexico
バー,bar
カップ,cup
訴訟,Lawsuit
流通,distribution
郵送,Mailing
平ら,Flat
赤字,deficit
二位,Second place
刃物,Knife
苦情,Complaint
入社,Joining a company
役所,Government office
三百円,300 yen
チラシ,Flyer
成人,adult
工具,tool
先週,last week
境,Border
国語,national language
三十人,Thirty
兵士,soldier
芸能人,entertainer
こんにちは,hello
ふっと,Suddenly
日付,date
相違,differ
決定的,Decisive
無意識,Unconsciousness
友人達,Friends
債務者,Debtor
四ヶ月,Four months
始末,Cleaning up
合間,Interval
副作用,Side effect
成分,component
初,first time
ドライバー,driver
渋滞,Traffic jam
遠慮,show reserve
印,mark
今週,this week
慰める,comfort
一方的,Unilateral
開設,Opening
アニメ,animation
さっさと,quickly
勢力,power
梅,plum
霊,Spirit
予感,Premonition
学者,Scholar
車椅子,wheelchair
月曜日,Monday
北京,Beijing
論理,logic
見込む,Anticipate
四十分,Forty minutes
歩道,Sidewalk
二千,Two thousand
政治的,Political
九年,Nine years
欠く,Lack
報告書,report
近づける,Approach
壼,Lingering
講座,Course
レシピ,recipe
行列,queue
計上,appropriation
受診,Consultation
指揮,Command
保管,storage
パートナー,partner
発足,Launch
火事,fire
中世,middle ages
考察,Consideration
祝い,Celebration
儲ける,Make money
指差す,pointing
認可,Approval
劣る,Be inferior
ぶつける,Hit
条約,Treaty
像,image
マッチ,Match
二千円,"2,000 yen"
キャベツ,cabbage
デザート,dessert
議員,Parliamentarians
審議,Deliberation
涼しい,cool
性,sex
仕草,gesture
マスター,Master
泡,foam
年配,Elderly
万が一,In the emergency
挙げ句,Upset
つなげる,Connect
弟子,Disciple
分解,Disassembly
一発,One shot
ささやく,whisper
調達,Procurement
二十六,26
制服,uniform
オーブン,oven
パンフレット,Pamphlet
賞,award
白人,White man
いささか,Somewhat
先頭,lead
真っ黒,Black
すっと,straight
公共,public
貴族,Aristocrat
散る,Be scattered
路地,alley
緑色,green
逃げ出す,Run away
繁栄,prosperity
銃,gun
今後とも,from now on
担ぐ,Carry in
撒く,Scatter
合理的,rational
果て,End
霧,fog
主催,Sponsoring
選択肢,Choice
密接,Closely
煮込む,Stew
表,table
錯覚,Illusion
乗り物,vehicle
スパゲッティー,Spaghetti
隣接,adjacent
二千三年,23 years
ごまかす,Cheat
テクニック,Technique
ステップ,Step
任務,mission
小川,stream
ロープ,rope
到達,Arrival
イエス,Jesus
上海,Shanghai
顕著,Remarkable
生まれ育つ,Be born and raised
ファッション,fashion
緊張感,Nervousness
容器,container
サポート,support
転ぶ,Fall
まし,Better
東北,Tohoku
亡くす,lose
サラダ,salad
注意点,important point
DNA,DNA
米軍,U.S. Army
デメリット,Demerit
国道,National road
浸透,Penetration
合図,sign
フェリー,ferry
貿易,Trade
照明,illumination
招待,invitation
年々,Year by year
十一年,11 years
武士,samurai
そりゃ,So
対抗,Opposition
者達,Persons
警察官,Police officer
丸める,Round
最新,latest
他者,Others
挿入,Insertion
賢い,wise
腐る,Rot
こだわり,Commitment
悲惨,Misery
キリスト,Christ
辛さ,hot flavor
二三日,A few days
講演,Lecture
誤る,Be incorrect
人権,human rights
両側,both sides
餅,Mochi
鎌倉,Kamakura
運動会,Sports day
州,state
分離,Separation
日常的,Daily
掲示板,Bulletin board
住宅地,Residential areas
亀,turtle
四十代,Forty
メロディー,melody
民衆,people
吉祥寺,Kichijoji
貫く,Pierced through
新潟,Niigata
箇所,part
正解,correct answer
悟る,Be aware of
擦る,rub
体育館,gym
再会,Reunion
儀式,Ritual
いやあ,No
店舗,Store
捕らわれる,Be captured
日本一,Best in Japan
トンネル,tunnel
一歳,One year old
暑さ,Heat
ビタミン,vitamin
おめでとう,Congrats
用途,Use
進学,Proceeding
タイヤ,tire
朝鮮,Korea
三味線,Shamisen
保険会社,Insurance company
写す,Copy
チョコレート,chocolate
走り回る,Run around
有力,Powerful
仕掛け,Device
ポスター,Poster
杉,Cedar
可愛らしい,lovely
彫刻,Sculpture
眠り,sleep
見込み,Expectation
爽やか,refreshing
就任,Appointment
先端,Tip
装置,Device
伝説,Legend
今頃,Around this time
学部,Undergraduate
水泳,swimming
羽目,Dust
上京,In the upper part of Tokyo
ビザ,visa
将軍,General
青少年,youth
肘,elbow
延々,meandering
食器,Tableware
引き付ける,attract
深さ,depth
~さん,~
パスポート,passport
ぼろぼろ,Ragged
いつ頃,When
二重,Double
埼玉,Saitama
いたずら,mischief
受け付ける,accept
こねる,Knead
這う,Crawl
ふらふら,Fluffy
捧げる,devote
居酒屋,Pub
見下ろす,Look down on
一貫,Consistency
文献,Literature
やがる,Be overwhelmed
ワープロ,word processor
象,elephant
共感,sympathy
ズボン,pants
迅速,fast
豆腐,tofu
司会,host
幸運,Luck
緩和,relief
鉄板,Iron plate
明ける,Dawn
反論,Rebuttal
引っ繰り返す,turn over
儲かる,make a profit
久々,Long time
効力,efficacy
枯れる,Die
絆,bond
相性,Compatibility
三分,Three minutes
砂浜,Sandy beach
責める,blame
参加費,Entry fee
井戸,well
五十代,Fifties
債務,debt
寄与,contribution
社宅,Company house
下記,the below described
委員長,Chairman
槍,spear
くわえる,Adapt
店員,Clerk
秩序,order
散々,Terrible
刺し身,Sashimi
おかず,Side dish
豚肉,pork
兵,Soldier
部長,Director
サミット,Summit
三十歳,Thirty -year -old
二倍,Twice
ベンチ,bench
補う,compensate
投入,Introduction
争い,Conflict
センス,sense
ハード,hard
見逃す,miss
線路,line
四年間,Four years
リンク,Link
大蔵省,Ministry of Finance
製作,Production
世帯,Household
覗き込む,Look into
区分,Division
放棄,Abandonment
転職,Changing jobs
類い,Similar
活気,Lively
日差し,sunlight
人格,personality
避難,Evacuation
ラスベガス,Las Vegas
鐘,bell
若者達,Young people
集まり,gathering
変換,conversion
歓迎,welcome
川崎,Kawasaki
支出,Spending
軸,shaft
食物,food
損害,damage
のみならず,As well
正義,justice
一目,glance
百年,Hundreds of years
ガイド,guide
大型,large
頂上,the top
睡眠,sleep
緩やか,Slender
相互,Mutual
二十七,Twenty seven
披露,Show
OB,OB
この方,This person
上位,Top position
リード,Lead
心身,Mentality
債権者,a creditor
燃料,fuel
ショップ,shop
長官,Secretary
強いる,Be strong
シート,Seat
追い込む,Drive in
プライド,Pride
題名,Title
問い合わせ,inquiry
葱,Green onion
据える,Put on
業績,performance
起動,Start-up
学年,School year
助成,Subsidy
天下,Heaven
打ち出す,Launch
栄える,Flourish
科学的,scientific
千九百九十九年,19999
庶民,Common people
千九百九十年,19990
乗り出す,Start
そんなこんな,Such
覚ます,Wake up
住居,Residence
沸騰,boiling
仕掛ける,Set up
一年半,One and a half years
こっそり,secretly
へん,Strange
組み立てる,assemble
案外,unexpectedly
譲渡,assignment
でもある,But
挫折,Setback
きゅうり,Cucumber
検証,inspection
株主,Shareholder
見渡す,Overlook
誓う,swear
マッサージ,Massage
二度目,second time
年上,Older
力強い,Powerful
ピーク,peak
みじん切り,Chop
強める,ramp up
禁煙,no smoking
厚さ,thickness
十代,Teen years
タレント,talent
ふさぐ,Close
ごと,All
牛肉,beef
枠組み,framework
かゆい,itch
七十,Seventy
多様化,Diversification
着せる,Put on
インストール,install
二年目,Second year
機構,mechanism
着実,steady
世田谷,Setagaya
里,Village
決まり,Decision
独身,single
十八歳,eighteen
高齢化,Aging
鮮明,clear
エアコン,Air conditioner
期限,Deadline
物件,Property
前条,Previous article
中間,Middle
カラー,Color
スポーツクラブ,Sports club
群馬県,Gunma Prefecture
フルーツ,fruits
グラフ,graph
画家,painter
組み込む,Incorporate
マイク,Microphone
着替える,Change clothes
計画的,Planned
典型的,Typical
調節,Adjustment
回避,Avoidance
打ち明ける,be frank
書物,book
隙,Gap
範囲内,Within the range
遊園地,amusement park
六つ,six
二十歳,20 years old
偏見,prejudice
理屈,reason
契機,Opportunity
一軒,one
紛争,Dispute
魔法,magic
影響力,Influence
触れ合い,Interchange
極力,As much as possible
私立,private
明記,Specification
塩分,salt
同一,Same
顔色,complexion
何せ,At all
資する,To contribute
埃,dust
既存,existing
網,network
つ,Dedicated
刑事,Criminal
ボーリング,Boring
感触,Feeling
明く,Clearly
人柄,personality
各々,Each
職務,Duties
URL,URL
だし,But
六十年,Sixty -year
薄れる,Fade
執行,Execution
分量,Quantity
大概,Mostly
熱する,heat
味わい,Taste
中途半端,Incomplete
はたち,Flaw
一周,Round
異様,Divination
髭,beard
支度,Preparation
留める,stop
立ち上げる,Launch
受賞,Awarded
国鉄,JNR
乏しい,poor
祝う,celebrate
倍,Doubling
ただただ,Just
業種,Industry
汽車,Train
うどん,Udon
五歳,Five years old
適度,Moderate
日中,Daytime
作曲,Composition
大嫌い,hate
居間,living room
心境,Feeling
住宅街,Residential area
無言,Silent
調味料,spices
一回目,First time
何時間,how many hours
みそ,Miso
花粉,pollen
抗議,protest
あきれる,Be overwhelmed
数日,Several days
信念,belief
イスラエル,Israel
遅く,late
追い詰める,Hunt down
プラスチック,plastic
しつこい,Insistent
塔,Tower
家,House
六年生,sixth grader
手話,sign language
痛める,Hurt
研究開発,Research and Development
切り取る,cut out
民法,Civil law
返済,pay back debt
例える,compare
なじみ,Familiarity
二十九,XXIX
地形,terrain
本能,instinct
解除,lift
放出,release
にらむ,Glare
悪魔,devil
ハム,ham
診察,consultation
二日目,Day 2
柿,persimmon
給付,Benefit
署名,signature
詩人,poets
しみじみ,Sacrifice
示唆,Suggestion
三千円,Three thousand yen
来週,next week
気楽,Comfort
略,Abbreviation
免れる,Be exempt from
相次ぐ,successive
一段,One step
動揺,upset
まあまあ,Well